,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day5longest_above_mean,0.000694974,0.000342313,0.000351669,0.005716999,0.003043666,0.003065059,0.175133486,0.086262893,0.088620682,0.090754546,0.048316694,0.048656304,0.121562755,0.11246737,0.114734941,1.929748909,1.785364144,1.82136072,0.010113064,0.005531442,0.005047613,0.457492933,0.45830038,0.456821654,1.313328067,1.312238403,1.318742843,0.06484111,0.02954596,0.03529515,2.700963708,2.919617147,2.510845872,17.31754862,15.5950101,17.55694977,1.27792589,0.676778347,0.606302182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day10longest_above_mean,0.000705147,0.000400966,0.000303841,0.005447861,0.002999188,0.002835543,0.17769697,0.101043458,0.076567934,0.086482111,0.047610631,0.045012849,0.129435519,0.133691561,0.107154436,2.054725166,2.122287734,1.701023938,0.00956855,0.005606219,0.004539917,0.457595172,0.463799299,0.453106832,1.312187204,1.300415736,1.319989836,0.057831587,0.03135507,0.033190939,3.072662859,3.222555604,2.306892698,18.57094021,18.02345956,16.86549327,1.103200303,0.63152025,0.476834693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day22longest_above_mean,0.000684006,0.000436362,0.000246203,0.005571251,0.003121259,0.002714353,0.172369407,0.109963225,0.062043189,0.088440871,0.049548449,0.043089014,0.122774142,0.139803208,0.090704175,1.948979082,2.219307132,1.43988414,0.009441555,0.00519276,0.004668357,0.457699184,0.463653376,0.453817673,1.307837962,1.311994643,1.297352936,0.05613881,0.030315003,0.034236489,3.070414355,3.627353253,1.812194831,18.25646375,21.17625693,13.29015557,0.712703214,0.401071276,0.316786577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60longest_above_mean,0.000761866,0.000448719,0.000301667,0.005309786,0.002825941,0.002739606,0.191990234,0.113077259,0.07602009,0.084290241,0.044860417,0.043489894,0.14348337,0.158785813,0.110113295,2.277727892,2.520646634,1.74799437,0.009411189,0.004720363,0.004984211,0.457789108,0.46119995,0.45495694,1.319161991,1.325086825,1.307472687,0.052297877,0.024912661,0.028806875,3.67109037,4.538947481,2.638956552,20.40021054,23.95520181,15.25218205,0.353669296,0.191239126,0.167584809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126longest_above_mean,0.000781486,0.000486645,0.000263677,0.005109801,0.002983957,0.002541606,0.196934538,0.122634463,0.066446491,0.081115583,0.047368847,0.040346738,0.152938675,0.16308704,0.103744086,2.427826193,2.588926494,1.646886317,0.008832005,0.00496342,0.00425843,0.458224211,0.465648902,0.451995123,1.322396467,1.311631466,1.310419512,0.046797187,0.023267506,0.027613491,4.208255925,5.270632074,2.406305362,22.29782959,24.70765514,15.60351965,0.193963922,0.103338388,0.095780173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252longest_above_mean,0.000730585,0.000483818,0.000320736,0.004260809,0.003066963,0.002282488,0.184107493,0.121922193,0.080825584,0.067638241,0.048686522,0.036233369,0.171466346,0.157751588,0.140520558,2.72194385,2.504228823,2.230694697,0.006910137,0.004765139,0.003719076,0.459223914,0.465048953,0.454318665,1.333445255,1.313631666,1.318747995,0.04477205,0.02551201,0.024081626,4.112107753,4.779011608,3.356317559,26.64310476,25.58628282,21.7327065,0.112495495,0.059685705,0.057964429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day5longest_above_median,0.000707635,0.000351707,0.000355556,0.005607271,0.003037896,0.002913784,0.178324141,0.088630094,0.089600095,0.08901267,0.048225098,0.04625489,0.126199618,0.115773143,0.122025487,2.003356827,1.837841662,1.93709455,0.010210156,0.005447723,0.005029828,0.457487922,0.45662464,0.458346807,1.312971335,1.317039253,1.311592971,0.060918653,0.032046659,0.035013823,2.927250238,2.765657853,2.558992054,17.46536864,16.26919847,17.8137503,1.043364141,0.624337414,0.424181366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day10longest_above_median,0.000705282,0.000419745,0.000284887,0.00545639,0.002830758,0.002989776,0.177731037,0.105775792,0.071791608,0.086617513,0.044936894,0.047461218,0.129257959,0.148280132,0.095287192,2.051906489,2.353874115,1.512637281,0.010021679,0.005718395,0.004714549,0.457598486,0.46073222,0.454636858,1.311088998,1.317825266,1.307813704,0.061235091,0.029705658,0.037936974,2.902437707,3.560796126,1.89239153,17.73465756,18.49746265,15.22767179,1.096938224,0.630153058,0.471939805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day22longest_above_median,0.000738299,0.000446414,0.000289386,0.005570175,0.002890263,0.002938005,0.18605134,0.112496341,0.072925335,0.088423788,0.045881495,0.046639391,0.13254502,0.154454498,0.09849752,2.104086963,2.451889151,1.563599657,0.00988283,0.005009766,0.005183083,0.457703876,0.458608281,0.456620783,1.317513105,1.338339454,1.300951329,0.056175402,0.025577147,0.039111917,3.311971699,4.398314702,1.86452983,18.82571444,22.45540638,14.06987647,0.762543454,0.421115352,0.346582741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60longest_above_median,0.000805479,0.000457913,0.000340456,0.005317068,0.002617858,0.002991599,0.202980679,0.115394097,0.085794881,0.084405845,0.041557201,0.047490169,0.151489282,0.17491902,0.113803964,2.404817801,2.776753363,1.806581914,0.009350219,0.004031488,0.005360438,0.457825414,0.459759879,0.457243726,1.327429314,1.333347755,1.315987,0.052347462,0.019190721,0.035375735,3.877564893,6.013015051,2.425246605,21.70865428,28.62320161,16.00520047,0.392449445,0.206482374,0.19112171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
