,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov
SP_5天信号_abs_energy_时间序列的绝对能量,0.000892025,0.000641588,0.000243116,0.007101704,0.006940072,0.002202087,0.22479024,0.16168017,0.06126526,0.112736056,0.110170226,0.034957054,0.125607144,0.092446877,0.11040257,1.993951599,1.46754868,1.75258647,0.008502092,0.007975651,0.003429995,0.466653815,0.464518639,0.467090019,1.35131041,1.408150303,1.271386204,0.15021684,0.136059538,0.034658128,1.496438345,1.188304569,1.767702496,26.43940205,20.27172109,17.86161798,1.076915004,0.71483052,0.367239123
SP_5天信号_abs_max_最高绝对值,0.000810765,0.000558732,0.000252181,0.005977043,0.005613181,0.002292454,0.204312837,0.140800558,0.063549731,0.094882618,0.08910648,0.036391582,0.135646542,0.099539354,0.110005023,2.153322098,1.580138264,1.746275602,0.008195527,0.006758889,0.003495713,0.466891272,0.458271208,0.470589312,1.324521017,1.410631561,1.266755861,0.129117946,0.111868382,0.034446407,1.582373665,1.258626925,1.844887088,24.92979905,20.8319074,18.1793334,1.131016574,0.684088787,0.452082427
SP_5天信号_abs_sum_changes_一阶差分绝对和,0.000668252,0.000361423,0.000251548,0.006046386,0.005849875,0.002372157,0.168399489,0.09107855,0.063390126,0.095983397,0.092863888,0.037656821,0.110520892,0.061782997,0.106041948,1.754464772,0.980774679,1.683363736,0.008548115,0.007095534,0.003842921,0.467105445,0.461232354,0.469412534,1.297468707,1.351283534,1.271199857,0.168008348,0.152259774,0.042955368,1.002328104,0.598178674,1.47572072,19.70019039,12.836039,16.49529717,1.168226667,0.682860801,0.490520505
SP_5天信号_count_above_mean_高于均值个数占比,0.000642779,0.000269108,0.000366628,0.004491978,0.002790449,0.002860844,0.161980241,0.067815155,0.092390166,0.071307946,0.044297009,0.045414496,0.143094797,0.096438864,0.128153648,2.271559485,1.530919505,2.034376099,0.006864202,0.004068576,0.004165217,0.466137991,0.467341542,0.465097212,1.285484115,1.267420617,1.319427081,0.097236262,0.042581415,0.056440739,1.665841918,1.592599856,1.636941114,23.59782411,16.66803133,22.1813551,1.299280419,0.672887322,0.631547736
SP_5天信号_count_below_mean_低于均值个数占比,0.000642779,0.000366628,0.000269108,0.004491978,0.002860844,0.002790449,0.161980241,0.092390166,0.067815155,0.071307946,0.045414496,0.044297009,0.143094797,0.128153648,0.096438864,2.271559485,2.034376099,1.530919505,0.006864202,0.004165217,0.004068576,0.466137991,0.465097212,0.467341542,1.285484115,1.319427081,1.267420617,0.097236262,0.056440739,0.042581415,1.665841918,1.636941114,1.592599856,23.59782411,22.1813551,16.66803133,1.299280419,0.631547736,0.672887322
SP_5天信号_first_loc_of_max_最大值位置,0.000889513,0.000325803,0.000561913,0.004840587,0.00363861,0.003124932,0.224157205,0.082102463,0.141602152,0.076841931,0.05776114,0.04960676,0.183761346,0.089540633,0.17981616,2.917120937,1.421413485,2.854493044,0.006194651,0.004217261,0.003037361,0.466190437,0.465524622,0.46789963,1.331965871,1.302564526,1.399364295,0.084565492,0.072141351,0.028195882,2.650693553,1.138077704,5.022086248,36.18560899,19.46819705,46.62012916,1.397067176,0.701166349,0.701055466
SP_5天信号_first_loc_of_min_最小值位置,0.000513048,0.000322488,0.000165109,0.005189064,0.003494903,0.003362605,0.129288091,0.081266917,0.04160753,0.082373835,0.05547986,0.053379698,0.09887101,0.092273747,0.049101589,1.569528619,1.46480033,0.779463567,0.007727736,0.005679865,0.004497952,0.466613924,0.469404301,0.463512167,1.266483998,1.298081269,1.270684101,0.114130042,0.066864296,0.051924378,1.132813833,1.215400778,0.80131012,16.73039785,14.30789558,9.250328526,1.396258102,0.700080573,0.701332169
SP_5天信号_kurtosis_峰度,0.000706659,0.00029144,0.000406355,0.004397783,0.003035501,0.002480978,0.178078002,0.07344284,0.102401359,0.069812645,0.04818708,0.039384302,0.160685212,0.096010467,0.163788081,2.550798658,1.52411892,2.600055174,0.005887208,0.004368415,0.003008244,0.466145363,0.466104695,0.466275887,1.296701938,1.290218868,1.3212568,0.095642783,0.063990299,0.035438755,1.861907357,1.147718344,2.889530347,30.24829261,16.81223847,34.04024216,1.404203261,0.725364543,0.683993358
SP_5天信号_last_loc_of_max_最大值最近位置,0.000889513,0.000325803,0.000561913,0.004840587,0.00363861,0.003124932,0.224157205,0.082102463,0.141602152,0.076841931,0.05776114,0.04960676,0.183761346,0.089540633,0.17981616,2.917120937,1.421413485,2.854493044,0.006194651,0.004217261,0.003037361,0.466190437,0.465524622,0.46789963,1.331965871,1.302564526,1.399364295,0.084565492,0.072141351,0.028195882,2.650693553,1.138077704,5.022086248,36.18560899,19.46819705,46.62012916,1.397067176,0.701166349,0.701055466
SP_5天信号_last_loc_of_min_最小值最近位置,0.00051127,0.000322488,0.000165109,0.005185068,0.003494903,0.003362605,0.128839955,0.081266917,0.04160753,0.082310397,0.05547986,0.053379698,0.098604242,0.092273747,0.049101589,1.565293809,1.46480033,0.779463567,0.007740197,0.005679865,0.004497952,0.46655536,0.468174494,0.464217822,1.266345039,1.306045278,1.265657117,0.114179635,0.066864296,0.051924378,1.128396973,1.215400778,0.80131012,16.64556637,14.30789558,9.250328526,1.396258102,0.700080573,0.701332169
